"","status","frei_datum","auftr_nr","mat_nr","charge","met_d_nr","mat_bez","chargengroesse","anzahl_muster","aql_aql","aql_niveau","R-P001","R-P026","R-P027","R-P028","R-P029","order","newn","NewN20","kfac","pfac","fsfac","dose_lsl","itime_usl","npos_usl","act_lsl","act_usl","idepth_lsl","idepth_usl"
"11","[k_F, p_f, r_f, m_F, md_f, z_f]",2024-01-17 07:56:14,"000205764","0000873266","3F369",11,"JUPITER",85156,200,"0,25","I",2.1379,12.26,6.74,6.64,6.069,11,58,60,2.592,0.003872,0.179,2,15,4.6,3,24,4,8
"12","[k_F, p_f, r_f, m_F, md_f, z_f]",2024-01-17 07:56:14,"000205764","0000873266","3F369",12,"JUPITER",85156,200,"0,25","I",2.1092,11.79,6.74,6.73,5.965,12,58,60,2.592,0.003872,0.179,2,15,4.6,3,24,4,8
"13","[k_F, p_f, r_f, m_F, md_f, z_f]",2024-01-17 07:56:14,"000205764","0000873266","3F369",13,"JUPITER",85156,200,"0,25","I",2.1185,11.82,6.39,6.68,5.985,13,58,60,2.592,0.003872,0.179,2,15,4.6,3,24,4,8
"14","[k_F, p_f, r_f, m_F, md_f, z_f]",2024-01-17 07:56:14,"000205764","0000873266","3F369",14,"JUPITER",85156,200,"0,25","I",2.1253,12.22,6.92,6.77,5.868,14,58,60,2.592,0.003872,0.179,2,15,4.6,3,24,4,8
"15","[k_F, p_f, r_f, m_F, md_f, z_f]",2024-01-17 07:56:14,"000205764","0000873266","3F369",15,"JUPITER",85156,200,"0,25","I",2.1251,12.4,6.37,6.67,6.016,15,58,60,2.592,0.003872,0.179,2,15,4.6,3,24,4,8
"16","[k_F, p_f, r_f, m_F, md_f, z_f]",2024-01-17 07:56:14,"000205764","0000873266","3F369",16,"JUPITER",85156,200,"0,25","I",2.1193,12.53,6.32,6.69,5.965,16,58,60,2.592,0.003872,0.179,2,15,4.6,3,24,4,8
"17","[k_F, p_f, r_f, m_F, md_f, z_f]",2024-01-17 07:56:14,"000205764","0000873266","3F369",17,"JUPITER",85156,200,"0,25","I",2.1229,11.79,6.69,6.87,5.841,17,58,60,2.592,0.003872,0.179,2,15,4.6,3,24,4,8
"18","[k_F, p_f, r_f, m_F, md_f, z_f]",2024-01-17 07:56:14,"000205764","0000873266","3F369",18,"JUPITER",85156,200,"0,25","I",2.1174,11.83,6.29,6.96,5.724,18,58,60,2.592,0.003872,0.179,2,15,4.6,3,24,4,8
"19","[k_F, p_f, r_f, m_F, md_f, z_f]",2024-01-17 07:56:14,"000205764","0000873266","3F369",19,"JUPITER",85156,200,"0,25","I",2.1039,11.84,6.59,6.77,5.953,19,58,60,2.592,0.003872,0.179,2,15,4.6,3,24,4,8
"20","[k_F, p_f, r_f, m_F, md_f, z_f]",2024-01-17 07:56:14,"000205764","0000873266","3F369",20,"JUPITER",85156,200,"0,25","I",2.1167,13.05,6.49,6.55,6.075,20,58,60,2.592,0.003872,0.179,2,15,4.6,3,24,4,8
"21","[k_F, p_f, r_f, m_F, md_f, z_f]",2024-01-17 07:56:14,"000205764","0000873266","3F369",21,"JUPITER",85156,200,"0,25","I",2.1134,12.19,6.56,6.71,5.982,21,58,60,2.592,0.003872,0.179,2,15,4.6,3,24,4,8
"22","[k_F, p_f, r_f, m_F, md_f, z_f]",2024-01-17 07:56:14,"000205764","0000873266","3F369",22,"JUPITER",85156,200,"0,25","I",2.1254,12.6,6.58,6.65,6.008,22,58,60,2.592,0.003872,0.179,2,15,4.6,3,24,4,8
"23","[k_F, p_f, r_f, m_F, md_f, z_f]",2024-01-17 07:56:14,"000205764","0000873266","3F369",23,"JUPITER",85156,200,"0,25","I",2.1132,12.2,6.05,6.92,5.772,23,58,60,2.592,0.003872,0.179,2,15,4.6,3,24,4,8
"24","[k_F, p_f, r_f, m_F, md_f, z_f]",2024-01-17 07:56:14,"000205764","0000873266","3F369",24,"JUPITER",85156,200,"0,25","I",2.118,11.96,6.49,6.69,6.024,24,58,60,2.592,0.003872,0.179,2,15,4.6,3,24,4,8
"25","[k_F, p_f, r_f, m_F, md_f, z_f]",2024-01-17 07:56:14,"000205764","0000873266","3F369",25,"JUPITER",85156,200,"0,25","I",2.1211,12.71,6.36,6.84,5.859,25,58,60,2.592,0.003872,0.179,2,15,4.6,3,24,4,8
"26","[k_F, p_f, r_f, m_F, md_f, z_f]",2024-01-17 07:56:14,"000205764","0000873266","3F369",26,"JUPITER",85156,200,"0,25","I",2.1156,12.11,6.43,6.7,5.972,26,58,60,2.592,0.003872,0.179,2,15,4.6,3,24,4,8
"27","[k_F, p_f, r_f, m_F, md_f, z_f]",2024-01-17 07:56:14,"000205764","0000873266","3F369",27,"JUPITER",85156,200,"0,25","I",2.1145,12.34,6.29,6.77,5.915,27,58,60,2.592,0.003872,0.179,2,15,4.6,3,24,4,8
"28","[k_F, p_f, r_f, m_F, md_f, z_f]",2024-01-17 07:56:14,"000205764","0000873266","3F369",28,"JUPITER",85156,200,"0,25","I",2.1214,12.11,6.1,6.67,5.99,28,58,60,2.592,0.003872,0.179,2,15,4.6,3,24,4,8
"29","[k_F, p_f, r_f, m_F, md_f, z_f]",2024-01-17 07:56:14,"000205764","0000873266","3F369",29,"JUPITER",85156,200,"0,25","I",2.1165,11.92,6.45,6.74,5.975,29,58,60,2.592,0.003872,0.179,2,15,4.6,3,24,4,8
"30","[k_F, p_f, r_f, m_F, md_f, z_f]",2024-01-17 07:56:14,"000205764","0000873266","3F369",30,"JUPITER",85156,200,"0,25","I",2.1276,12.17,6.35,7.12,5.575,30,58,60,2.592,0.003872,0.179,2,15,4.6,3,24,4,8
"31","[k_F, p_f, r_f, m_F, md_f, z_f]",2024-01-17 07:56:14,"000205764","0000873266","3F369",31,"JUPITER",85156,200,"0,25","I",2.1167,11.96,6.24,6.95,5.77,31,58,60,2.592,0.003872,0.179,2,15,4.6,3,24,4,8
"32","[k_F, p_f, r_f, m_F, md_f, z_f]",2024-01-17 07:56:14,"000205764","0000873266","3F369",32,"JUPITER",85156,200,"0,25","I",2.1084,11.92,6.48,6.54,6.126,32,58,60,2.592,0.003872,0.179,2,15,4.6,3,24,4,8
"33","[k_F, p_f, r_f, m_F, md_f, z_f]",2024-01-17 07:56:14,"000205764","0000873266","3F369",33,"JUPITER",85156,200,"0,25","I",2.1118,11.81,6.63,6.73,5.996,33,58,60,2.592,0.003872,0.179,2,15,4.6,3,24,4,8
"34","[k_F, p_f, r_f, m_F, md_f, z_f]",2024-01-17 07:56:14,"000205764","0000873266","3F369",34,"JUPITER",85156,200,"0,25","I",2.1182,12.84,6.83,6.75,5.922,34,58,60,2.592,0.003872,0.179,2,15,4.6,3,24,4,8
"35","[k_F, p_f, r_f, m_F, md_f, z_f]",2024-01-17 07:56:14,"000205764","0000873266","3F369",35,"JUPITER",85156,200,"0,25","I",2.1223,11.78,6.26,6.45,6.226,35,58,60,2.592,0.003872,0.179,2,15,4.6,3,24,4,8
"36","[k_F, p_f, r_f, m_F, md_f, z_f]",2024-01-17 07:56:14,"000205764","0000873266","3F369",36,"JUPITER",85156,200,"0,25","I",2.1185,12.21,7.24,6.68,5.984,36,58,60,2.592,0.003872,0.179,2,15,4.6,3,24,4,8
"37","[k_F, p_f, r_f, m_F, md_f, z_f]",2024-01-17 07:56:14,"000205764","0000873266","3F369",37,"JUPITER",85156,200,"0,25","I",2.1126,12.09,6.48,6.25,6.456,37,58,60,2.592,0.003872,0.179,2,15,4.6,3,24,4,8
"38","[k_F, p_f, r_f, m_F, md_f, z_f]",2024-01-17 07:56:14,"000205764","0000873266","3F369",38,"JUPITER",85156,200,"0,25","I",2.1189,12.4,7.31,6.65,6,38,58,60,2.592,0.003872,0.179,2,15,4.6,3,24,4,8
"39","[k_F, p_f, r_f, m_F, md_f, z_f]",2024-01-17 07:56:14,"000205764","0000873266","3F369",39,"JUPITER",85156,200,"0,25","I",2.12,12.32,6.72,6.63,6.082,39,58,60,2.592,0.003872,0.179,2,15,4.6,3,24,4,8
"40","[k_F, p_f, r_f, m_F, md_f, z_f]",2024-01-17 07:56:14,"000205764","0000873266","3F369",40,"JUPITER",85156,200,"0,25","I",2.1134,12.58,6.71,6.58,6.114,40,58,60,2.592,0.003872,0.179,2,15,4.6,3,24,4,8
"41","[k_F, p_f, r_f, m_F, md_f, z_f]",2024-01-17 07:56:14,"000205764","0000873266","3F369",41,"JUPITER",85156,200,"0,25","I",2.1155,12.26,7.21,6.25,6.397,41,58,60,2.592,0.003872,0.179,2,15,4.6,3,24,4,8
"42","[k_F, p_f, r_f, m_F, md_f, z_f]",2024-01-17 07:56:14,"000205764","0000873266","3F369",42,"JUPITER",85156,200,"0,25","I",2.1294,12.3,6.85,6.91,5.779,42,58,60,2.592,0.003872,0.179,2,15,4.6,3,24,4,8
"43","[k_F, p_f, r_f, m_F, md_f, z_f]",2024-01-17 07:56:14,"000205764","0000873266","3F369",43,"JUPITER",85156,200,"0,25","I",2.1286,12.37,6.74,6.89,5.738,43,58,60,2.592,0.003872,0.179,2,15,4.6,3,24,4,8
"44","[k_F, p_f, r_f, m_F, md_f, z_f]",2024-01-17 07:56:14,"000205764","0000873266","3F369",44,"JUPITER",85156,200,"0,25","I",2.1193,12.2,6.24,6.8,5.908,44,58,60,2.592,0.003872,0.179,2,15,4.6,3,24,4,8
"45","[k_F, p_f, r_f, m_F, md_f, z_f]",2024-01-17 07:56:14,"000205764","0000873266","3F369",45,"JUPITER",85156,200,"0,25","I",2.1167,11.85,6.65,6.68,6.022,45,58,60,2.592,0.003872,0.179,2,15,4.6,3,24,4,8
"46","[k_F, p_f, r_f, m_F, md_f, z_f]",2024-01-17 07:56:14,"000205764","0000873266","3F369",46,"JUPITER",85156,200,"0,25","I",2.1197,11.6,6.78,6.5,6.16,46,58,60,2.592,0.003872,0.179,2,15,4.6,3,24,4,8
"47","[k_F, p_f, r_f, m_F, md_f, z_f]",2024-01-17 07:56:14,"000205764","0000873266","3F369",47,"JUPITER",85156,200,"0,25","I",2.1294,11.99,6.47,6.99,5.678,47,58,60,2.592,0.003872,0.179,2,15,4.6,3,24,4,8
"48","[k_F, p_f, r_f, m_F, md_f, z_f]",2024-01-17 07:56:14,"000205764","0000873266","3F369",48,"JUPITER",85156,200,"0,25","I",2.1007,12.06,6.48,6.41,6.288,48,58,60,2.592,0.003872,0.179,2,15,4.6,3,24,4,8
"49","[k_F, p_f, r_f, m_F, md_f, z_f]",2024-01-17 07:56:14,"000205764","0000873266","3F369",49,"JUPITER",85156,200,"0,25","I",2.1091,12.2,6.73,6.64,6.035,49,58,60,2.592,0.003872,0.179,2,15,4.6,3,24,4,8
"50","[k_F, p_f, r_f, m_F, md_f, z_f]",2024-01-17 07:56:14,"000205764","0000873266","3F369",50,"JUPITER",85156,200,"0,25","I",2.1017,12.8,6.78,6.67,6.023,50,58,60,2.592,0.003872,0.179,2,15,4.6,3,24,4,8
"51","[k_F, p_f, r_f, m_F, md_f, z_f]",2024-01-17 07:56:14,"000205764","0000873266","3F369",51,"JUPITER",85156,200,"0,25","I",2.113,11.89,6.91,6.66,6.005,51,58,60,2.592,0.003872,0.179,2,15,4.6,3,24,4,8
"52","[k_F, p_f, r_f, m_F, md_f, z_f]",2024-01-17 07:56:14,"000205764","0000873266","3F369",52,"JUPITER",85156,200,"0,25","I",2.1125,12.29,6.07,6.59,6.093,52,58,60,2.592,0.003872,0.179,2,15,4.6,3,24,4,8
"53","[k_F, p_f, r_f, m_F, md_f, z_f]",2024-01-17 07:56:14,"000205764","0000873266","3F369",53,"JUPITER",85156,200,"0,25","I",2.1051,12.63,6.72,6.99,5.682,53,58,60,2.592,0.003872,0.179,2,15,4.6,3,24,4,8
"54","[k_F, p_f, r_f, m_F, md_f, z_f]",2024-01-17 07:56:14,"000205764","0000873266","3F369",54,"JUPITER",85156,200,"0,25","I",2.1164,12.12,6.56,6.57,6.127,54,58,60,2.592,0.003872,0.179,2,15,4.6,3,24,4,8
"55","[k_F, p_f, r_f, m_F, md_f, z_f]",2024-01-17 07:56:14,"000205764","0000873266","3F369",55,"JUPITER",85156,200,"0,25","I",2.1208,12.3,6.74,6.69,6.017,55,58,60,2.592,0.003872,0.179,2,15,4.6,3,24,4,8
"56","[k_F, p_f, r_f, m_F, md_f, z_f]",2024-01-17 07:56:14,"000205764","0000873266","3F369",56,"JUPITER",85156,200,"0,25","I",2.1156,12.21,7.11,6.7,5.977,56,58,60,2.592,0.003872,0.179,2,15,4.6,3,24,4,8
"57","[k_F, p_f, r_f, m_F, md_f, z_f]",2024-01-17 07:56:14,"000205764","0000873266","3F369",57,"JUPITER",85156,200,"0,25","I",2.1153,12.01,6.71,6.9,5.779,57,58,60,2.592,0.003872,0.179,2,15,4.6,3,24,4,8
"58","[k_F, p_f, r_f, m_F, md_f, z_f]",2024-01-17 07:56:14,"000205764","0000873266","3F369",58,"JUPITER",85156,200,"0,25","I",2.1183,12.12,7.01,6.33,6.325,58,58,60,2.592,0.003872,0.179,2,15,4.6,3,24,4,8
"59","[k_F, p_f, r_f, m_F, md_f, z_f]",2024-01-17 07:56:14,"000205764","0000873266","3F369",59,"JUPITER",85156,200,"0,25","I",2.123,11.93,6.9,6.85,5.853,59,58,60,2.592,0.003872,0.179,2,15,4.6,3,24,4,8
"60","[k_F, p_f, r_f, m_F, md_f, z_f]",2024-01-17 07:56:14,"000205764","0000873266","3F369",60,"JUPITER",85156,200,"0,25","I",2.1077,12.33,6.88,6.37,6.35,60,58,60,2.592,0.003872,0.179,2,15,4.6,3,24,4,8
"61","[k_F, p_f, r_f, m_F, md_f, z_f]",2024-01-17 07:56:14,"000205764","0000873266","3F369",61,"JUPITER",85156,200,"0,25","I",2.1164,11.86,6.94,6.63,6.043,61,58,60,2.592,0.003872,0.179,2,15,4.6,3,24,4,8
"62","[k_F, p_f, r_f, m_F, md_f, z_f]",2024-01-17 07:56:14,"000205764","0000873266","3F369",62,"JUPITER",85156,200,"0,25","I",2.1198,11.84,7.2,7.01,5.715,62,58,60,2.592,0.003872,0.179,2,15,4.6,3,24,4,8
"63","[k_F, p_f, r_f, m_F, md_f, z_f]",2024-01-17 07:56:14,"000205764","0000873266","3F369",63,"JUPITER",85156,200,"0,25","I",2.1377,11.87,6.91,6.93,5.783,63,58,60,2.592,0.003872,0.179,2,15,4.6,3,24,4,8
"64","[k_F, p_f, r_f, m_F, md_f, z_f]",2024-01-03 13:09:19,"000202431","0000873266","3F355",372,"JUPITER",87256,500,"0,25","II",2.105,12.83,6.44,6.46,6.232,64,110,114,2.449,0.006602,0.18,2,15,4.6,3,24,4,8
"65","[k_F, p_f, r_f, m_F, md_f, z_f]",2024-01-03 13:09:19,"000202431","0000873266","3F355",373,"JUPITER",87256,500,"0,25","II",2.1285,12.43,6.35,6.43,6.259,65,110,114,2.449,0.006602,0.18,2,15,4.6,3,24,4,8
"66","[k_F, p_f, r_f, m_F, md_f, z_f]",2024-01-03 13:09:19,"000202431","0000873266","3F355",374,"JUPITER",87256,500,"0,25","II",2.1182,12.79,6.42,6.53,6.156,66,110,114,2.449,0.006602,0.18,2,15,4.6,3,24,4,8
"67","[k_F, p_f, r_f, m_F, md_f, z_f]",2024-01-03 13:09:19,"000202431","0000873266","3F355",375,"JUPITER",87256,500,"0,25","II",2.1196,12.05,6.4,6.44,6.195,67,110,114,2.449,0.006602,0.18,2,15,4.6,3,24,4,8
"68","[k_F, p_f, r_f, m_F, md_f, z_f]",2024-01-03 13:09:19,"000202431","0000873266","3F355",376,"JUPITER",87256,500,"0,25","II",2.1181,12.63,6.64,6.63,6.004,68,110,114,2.449,0.006602,0.18,2,15,4.6,3,24,4,8
"69","[k_F, p_f, r_f, m_F, md_f, z_f]",2024-01-03 13:09:19,"000202431","0000873266","3F355",377,"JUPITER",87256,500,"0,25","II",2.1096,12.18,6.81,6.64,6.033,69,110,114,2.449,0.006602,0.18,2,15,4.6,3,24,4,8
"70","[k_F, p_f, r_f, m_F, md_f, z_f]",2024-01-03 13:09:19,"000202431","0000873266","3F355",378,"JUPITER",87256,500,"0,25","II",2.1292,12.38,6.5,6.34,6.341,70,110,114,2.449,0.006602,0.18,2,15,4.6,3,24,4,8
"71","[k_F, p_f, r_f, m_F, md_f, z_f]",2024-01-03 13:09:19,"000202431","0000873266","3F355",379,"JUPITER",87256,500,"0,25","II",2.128,12.41,6.68,6.59,6.077,71,110,114,2.449,0.006602,0.18,2,15,4.6,3,24,4,8
"72","[k_F, p_f, r_f, m_F, md_f, z_f]",2024-01-03 13:09:19,"000202431","0000873266","3F355",380,"JUPITER",87256,500,"0,25","II",2.1074,12.37,6.38,6.32,6.38,72,110,114,2.449,0.006602,0.18,2,15,4.6,3,24,4,8
"73","[k_F, p_f, r_f, m_F, md_f, z_f]",2024-01-03 13:09:19,"000202431","0000873266","3F355",381,"JUPITER",87256,500,"0,25","II",2.1052,11.94,6.45,6.31,6.409,73,110,114,2.449,0.006602,0.18,2,15,4.6,3,24,4,8
"74","[k_F, p_f, r_f, m_F, md_f, z_f]",2024-01-03 13:09:19,"000202431","0000873266","3F355",382,"JUPITER",87256,500,"0,25","II",2.1135,12.08,6.36,6.39,6.304,74,110,114,2.449,0.006602,0.18,2,15,4.6,3,24,4,8
"75","[k_F, p_f, r_f, m_F, md_f, z_f]",2024-01-03 13:09:19,"000202431","0000873266","3F355",383,"JUPITER",87256,500,"0,25","II",2.1016,12.48,6.74,6.4,6.282,75,110,114,2.449,0.006602,0.18,2,15,4.6,3,24,4,8
"76","[k_F, p_f, r_f, m_F, md_f, z_f]",2024-01-03 13:09:19,"000202431","0000873266","3F355",384,"JUPITER",87256,500,"0,25","II",2.1139,11.94,6.34,6.36,6.333,76,110,114,2.449,0.006602,0.18,2,15,4.6,3,24,4,8
"77","[k_F, p_f, r_f, m_F, md_f, z_f]",2024-01-03 13:09:19,"000202431","0000873266","3F355",385,"JUPITER",87256,500,"0,25","II",2.1104,12.02,6.6,6.44,6.271,77,110,114,2.449,0.006602,0.18,2,15,4.6,3,24,4,8
"78","[k_F, p_f, r_f, m_F, md_f, z_f]",2023-11-23 10:24:51,"000201093","0000890642","3F341",185,"JUPITER",70255,500,"0,25","II",2.1202,13.24,6.55,6.99,5.682,78,110,114,2.449,0.006602,0.18,2,15,4.6,3,24,4,8
"79","[k_F, p_f, r_f, m_F, md_f, z_f]",2023-11-23 10:24:51,"000201093","0000890642","3F341",186,"JUPITER",70255,500,"0,25","II",2.1244,13.59,6.61,7.46,5.276,79,110,114,2.449,0.006602,0.18,2,15,4.6,3,24,4,8
"80","[k_F, p_f, r_f, m_F, md_f, z_f]",2023-11-23 10:24:51,"000201093","0000890642","3F341",187,"JUPITER",70255,500,"0,25","II",2.1246,13.03,6.56,6.98,5.702,80,110,114,2.449,0.006602,0.18,2,15,4.6,3,24,4,8
"81","[k_F, p_f, r_f, m_F, md_f, z_f]",2023-11-23 10:24:51,"000201093","0000890642","3F341",188,"JUPITER",70255,500,"0,25","II",2.1179,12.02,6.64,7.23,5.469,81,110,114,2.449,0.006602,0.18,2,15,4.6,3,24,4,8
"82","[k_F, p_f, r_f, m_F, md_f, z_f]",2023-11-23 10:24:51,"000201093","0000890642","3F341",189,"JUPITER",70255,500,"0,25","II",2.1203,12.65,6.56,6.97,5.71,82,110,114,2.449,0.006602,0.18,2,15,4.6,3,24,4,8
"83","[k_F, p_f, r_f, m_F, md_f, z_f]",2023-11-23 10:24:51,"000201093","0000890642","3F341",190,"JUPITER",70255,500,"0,25","II",2.1197,12.7,6.81,7.09,5.644,83,110,114,2.449,0.006602,0.18,2,15,4.6,3,24,4,8
"84","[k_F, p_f, r_f, m_F, md_f, z_f]",2023-11-23 10:24:51,"000201093","0000890642","3F341",191,"JUPITER",70255,500,"0,25","II",2.1261,12.6,6.5,7.06,5.66,84,110,114,2.449,0.006602,0.18,2,15,4.6,3,24,4,8
"85","[k_F, p_f, r_f, m_F, md_f, z_f]",2023-11-23 10:24:51,"000201093","0000890642","3F341",192,"JUPITER",70255,500,"0,25","II",2.1237,12.51,6.66,6.94,5.796,85,110,114,2.449,0.006602,0.18,2,15,4.6,3,24,4,8
"86","[k_F, p_f, r_f, m_F, md_f, z_f]",2023-11-23 10:24:51,"000201093","0000890642","3F341",193,"JUPITER",70255,500,"0,25","II",2.1302,12.87,7.02,7.05,5.621,86,110,114,2.449,0.006602,0.18,2,15,4.6,3,24,4,8
"87","[k_F, p_f, r_f, m_F, md_f, z_f]",2023-11-23 10:24:51,"000201093","0000890642","3F341",194,"JUPITER",70255,500,"0,25","II",2.1096,12.46,6.47,7.21,5.528,87,110,114,2.449,0.006602,0.18,2,15,4.6,3,24,4,8
"88","[k_F, p_f, r_f, m_F, md_f, z_f]",2023-11-23 10:24:51,"000201093","0000890642","3F341",195,"JUPITER",70255,500,"0,25","II",2.1213,13,7.06,7.1,5.622,88,110,114,2.449,0.006602,0.18,2,15,4.6,3,24,4,8
"89","[k_F, p_f, r_f, m_F, md_f, z_f]",2023-11-23 10:24:51,"000201093","0000890642","3F341",196,"JUPITER",70255,500,"0,25","II",2.1169,12.9,6.66,6.95,5.778,89,110,114,2.449,0.006602,0.18,2,15,4.6,3,24,4,8
"90","[k_F, p_f, r_f, m_F, md_f, z_f]",2023-11-23 10:24:51,"000201093","0000890642","3F341",197,"JUPITER",70255,500,"0,25","II",2.1293,12.86,6.83,7.11,5.626,90,110,114,2.449,0.006602,0.18,2,15,4.6,3,24,4,8
"91","[k_F, p_f, r_f, m_F, md_f, z_f]",2023-11-23 10:24:51,"000201093","0000890642","3F341",198,"JUPITER",70255,500,"0,25","II",2.1202,12.56,6.29,7.26,5.472,91,110,114,2.449,0.006602,0.18,2,15,4.6,3,24,4,8
"92","[k_F, p_f, r_f, m_F, md_f, z_f]",2023-11-23 10:24:51,"000201093","0000890642","3F341",199,"JUPITER",70255,500,"0,25","II",2.1171,12.28,7.01,7.11,5.646,92,110,114,2.449,0.006602,0.18,2,15,4.6,3,24,4,8
"93","[k_F, p_f, r_f, m_F, md_f, z_f]",2023-11-23 10:24:51,"000201093","0000890642","3F341",200,"JUPITER",70255,500,"0,25","II",2.1125,13.22,6.6,6.92,5.823,93,110,114,2.449,0.006602,0.18,2,15,4.6,3,24,4,8
"94","[k_F, p_f, r_f, m_F, md_f, z_f]",2023-11-23 10:24:51,"000201093","0000890642","3F341",201,"JUPITER",70255,500,"0,25","II",2.1187,12.85,6.38,7.07,5.594,94,110,114,2.449,0.006602,0.18,2,15,4.6,3,24,4,8
"95","[k_F, p_f, r_f, m_F, md_f, z_f]",2023-11-23 10:24:51,"000201093","0000890642","3F341",202,"JUPITER",70255,500,"0,25","II",2.1183,12.78,6.33,6.98,5.753,95,110,114,2.449,0.006602,0.18,2,15,4.6,3,24,4,8
"96","[k_F, p_f, r_f, m_F, md_f, z_f]",2023-11-23 10:24:51,"000201093","0000890642","3F341",203,"JUPITER",70255,500,"0,25","II",2.1142,12.95,6.41,7.11,5.558,96,110,114,2.449,0.006602,0.18,2,15,4.6,3,24,4,8
"97","[k_F, p_f, r_f, m_F, md_f, z_f]",2023-11-23 10:24:51,"000201093","0000890642","3F341",204,"JUPITER",70255,500,"0,25","II",2.1238,13.33,6.67,6.94,5.802,97,110,114,2.449,0.006602,0.18,2,15,4.6,3,24,4,8
"98","[k_F, p_f, r_f, m_F, md_f, z_f]",2023-11-23 10:24:51,"000201093","0000890642","3F341",205,"JUPITER",70255,500,"0,25","II",2.1066,12.77,6.18,7.35,5.33,98,110,114,2.449,0.006602,0.18,2,15,4.6,3,24,4,8
"99","[k_F, p_f, r_f, m_F, md_f, z_f]",2023-11-23 10:24:51,"000201093","0000890642","3F341",206,"JUPITER",70255,500,"0,25","II",2.1151,12.76,6.49,7.12,5.611,99,110,114,2.449,0.006602,0.18,2,15,4.6,3,24,4,8
"100","[k_F, p_f, r_f, m_F, md_f, z_f]",2023-11-23 10:24:51,"000201093","0000890642","3F341",207,"JUPITER",70255,500,"0,25","II",2.1194,12.67,6.64,6.99,5.704,100,110,114,2.449,0.006602,0.18,2,15,4.6,3,24,4,8
"101","[k_F, p_f, r_f, m_F, md_f, z_f]",2023-11-23 10:24:51,"000201093","0000890642","3F341",208,"JUPITER",70255,500,"0,25","II",2.1245,12.61,6.19,7.24,5.494,101,110,114,2.449,0.006602,0.18,2,15,4.6,3,24,4,8
"102","[k_F, p_f, r_f, m_F, md_f, z_f]",2023-11-23 10:24:51,"000201093","0000890642","3F341",209,"JUPITER",70255,500,"0,25","II",2.1187,12.15,6.35,7.1,5.565,102,110,114,2.449,0.006602,0.18,2,15,4.6,3,24,4,8
